,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
67,25943,5079,2186,1671,1388,1243,1250,1186,1426,1215,1981,1880,2059,1312,840,667,560,11233,2012,36,Kings County,970,1060,1210,1530,1850
68,32004,1682,846,1335,1437,1391,1346,1293,1447,1139,2074,3285,4364,3791,2364,2522,1688,11234,2012,36,Kings County,1170,1280,1460,1840,2230
69,31057,4964,2385,1704,1417,1872,1495,1152,1045,1007,1690,2462,3348,2701,1301,1318,1196,11235,2012,36,Kings County,990,1090,1240,1560,1890
70,31463,2649,1103,1084,1381,1278,1324,1201,1331,1549,2636,3349,4797,3196,1834,1898,853,11236,2012,36,Kings County,1140,1250,1430,1800,2180
71,16277,2462,1176,1086,1127,858,991,743,1013,775,1524,1501,1509,612,403,325,172,11237,2012,36,Kings County,1000,1090,1250,1580,1910
72,22896,1848,909,1207,869,812,1004,953,782,658,1469,2354,2800,2186,1720,1814,1511,11238,2012,36,Kings County,1170,1280,1460,1840,2230
73,6390,1521,807,553,331,400,254,122,447,419,501,429,335,83,72,63,53,11239,2012,36,Kings County,1000,1090,1250,1580,1910
74,24389,1542,867,733,790,545,774,605,569,621,1196,1790,2597,2230,1639,2529,5362,11201,2013,36,Kings County,1550,1620,1920,2500,2940
75,26933,2545,1337,1595,1615,1372,1269,1418,1538,1230,1840,2673,3528,2226,1225,975,547,11203,2013,36,Kings County,1010,1050,1250,1630,1920
76,25221,1944,1825,2008,1496,1542,1216,1041,1440,1000,1831,2518,2674,1669,1087,1181,749,11204,2013,36,Kings County,1070,1120,1330,1730,2040
77,14656,2121,1104,956,856,774,582,467,501,302,817,1107,1446,957,879,769,1018,11205,2013,36,Kings County,1270,1320,1570,2040,2410
78,28314,5187,3142,2457,2200,1533,1805,1267,1249,1315,1666,1826,1799,1252,861,399,356,11206,2013,36,Kings County,900,940,1120,1460,1720
79,30879,6213,2447,1944,2031,1718,1551,1565,1555,1122,2228,2576,2721,1729,670,551,258,11207,2013,36,Kings County,1020,1060,1260,1640,1930
80,28779,5947,1771,2331,1370,1246,1697,1583,1665,1131,2155,2615,2251,1346,751,564,356,11208,2013,36,Kings County,1100,1150,1360,1770,2080
81,30877,2232,1477,1633,1589,1483,1149,1207,1281,1271,2545,2585,3851,2607,1608,2375,1984,11209,2013,36,Kings County,1150,1200,1420,1850,2180
82,21520,1583,1053,814,1090,854,1252,1008,1091,1025,1840,2097,2809,1657,1180,1217,950,11210,2013,36,Kings County,990,1040,1230,1600,1890
83,35527,4345,3646,2475,1481,1775,1493,988,1216,1104,2094,3061,3498,2630,1577,1962,2182,11211,2013,36,Kings County,1240,1290,1530,1990,2350
84,30167,6423,3284,2204,1698,1998,1828,1632,1391,1083,2138,2079,2172,1124,439,458,216,11212,2013,36,Kings County,970,1010,1200,1560,1840
85,23512,3880,2328,1613,1362,1380,1237,1413,1153,778,1798,1997,2132,929,713,565,234,11213,2013,36,Kings County,970,1010,1200,1560,1840
86,30415,2459,2371,1831,1860,2059,1732,1707,1741,1031,2443,3207,2903,1934,1437,1027,673,11214,2013,36,Kings County,1000,1050,1240,1610,1900
87,28822,1321,861,543,653,485,659,521,947,903,1964,2597,3647,2913,2501,3461,4846,11215,2013,36,Kings County,1560,1630,1930,2510,2960
88,22832,2876,1649,1440,1103,1147,1210,924,1348,835,1920,2290,2225,1561,771,871,662,11216,2013,36,Kings County,1020,1060,1260,1640,1930
89,16726,1332,707,633,598,617,477,488,394,397,945,1147,1846,1435,1351,1686,2673,11217,2013,36,Kings County,1570,1640,1940,2520,2970
90,24869,1998,1736,1593,1411,1162,1251,840,1055,924,1746,2433,3004,2002,1196,1335,1183,11218,2013,36,Kings County,1130,1180,1400,1820,2150
91,26609,2542,2636,2290,2267,1835,1950,1679,1312,937,1655,2443,1896,1204,769,665,529,11219,2013,36,Kings County,1070,1110,1320,1720,2020
92,30042,3038,2499,2417,2436,2134,1676,1393,1870,1123,1994,2601,2622,1988,777,849,625,11220,2013,36,Kings County,1070,1120,1330,1730,2040
93,27803,4142,1988,2016,1829,1853,1039,1265,1150,1468,2064,2568,2586,1666,995,762,412,11221,2013,36,Kings County,1040,1090,1290,1680,1980
94,16395,1367,793,772,558,630,832,444,550,501,1224,1669,2543,1731,985,1066,730,11222,2013,36,Kings County,1200,1260,1490,1940,2280
95,27050,2858,1801,1777,1768,1840,1573,1474,1527,1052,2018,2414,2599,1727,933,865,824,11223,2013,36,Kings County,1000,1050,1240,1610,1900
96,18134,3548,2185,1374,1442,834,608,747,1009,472,1426,1188,1057,889,650,454,251,11224,2013,36,Kings County,800,840,990,1290,1520
97,22599,2306,1696,1377,1345,1310,1231,1213,1450,944,1764,2403,2314,1183,858,596,609,11225,2013,36,Kings County,960,1000,1190,1550,1820
98,35551,4214,2628,2259,1877,1913,2706,1881,1950,1337,3025,3760,3410,1964,1042,1023,562,11226,2013,36,Kings County,1010,1050,1250,1630,1920
99,15156,644,641,932,695,648,696,598,663,564,1313,1434,1756,1427,1078,1122,945,11228,2013,36,Kings County,1130,1180,1400,1820,2150
100,30892,3085,2192,1523,2015,1218,1294,1268,1127,1147,2462,2724,3441,2776,1963,1505,1152,11229,2013,36,Kings County,1020,1060,1260,1640,1930
101,29819,3881,2157,2080,1724,1513,1594,1359,1296,893,1910,2830,3002,2084,1091,1281,1124,11230,2013,36,Kings County,1080,1130,1340,1740,2050
102,14993,1502,706,436,603,483,469,342,320,423,810,1266,1517,1488,1141,1403,2084,11231,2013,36,Kings County,1600,1670,1980,2580,3030
103,8824,771,465,594,575,548,665,484,428,358,773,780,1077,508,394,213,191,11232,2013,36,Kings County,1150,1200,1420,1850,2180
104,26130,4872,2408,1889,1481,1229,1303,1208,1173,1310,1654,2001,2250,1302,822,736,492,11233,2013,36,Kings County,1010,1050,1250,1630,1920
105,31989,1729,951,1237,1487,1095,1547,1228,1427,1014,2074,3373,4190,3865,2355,2734,1683,11234,2013,36,Kings County,1190,1240,1470,1910,2250
106,31958,5285,2366,1644,1804,1728,1634,1147,1029,861,1732,2623,3285,2593,1519,1381,1327,11235,2013,36,Kings County,1040,1090,1290,1680,1980
107,31542,2494,1151,1164,1313,1326,1320,1343,1405,1229,2722,3407,4890,3052,1973,1951,802,11236,2013,36,Kings County,1160,1210,1440,1870,2210
108,16721,2307,1145,1136,1146,797,1046,733,961,832,1385,1503,1598,807,560,525,240,11237,2013,36,Kings County,1070,1110,1320,1720,2020
109,23003,1801,918,1154,1077,758,927,842,818,766,1487,2030,3013,2330,1602,1763,1717,11238,2013,36,Kings County,1230,1280,1520,1980,2330
110,6377,1418,715,550,455,234,314,204,591,368,382,616,280,105,52,42,51,11239,2013,36,Kings County,1020,1060,1260,1640,1930
111,24889,1419,901,650,899,571,700,686,671,551,1215,1680,2599,2354,1724,2620,5649,11201,2014,36,Kings County,1540,1610,1910,2480,2930
112,27164,2998,1514,1423,1529,1459,1335,1588,1414,1152,1963,2564,3418,1997,1213,1003,594,11203,2014,36,Kings County,1000,1050,1240,1610,1900
113,24873,1971,1744,2081,1584,1519,1170,898,1344,968,2006,2420,2568,1637,1069,1112,782,11204,2014,36,Kings County,1070,1110,1320,1720,2020
114,15090,1886,1157,935,841,916,610,550,527,394,783,1156,1568,1033,918,839,977,11205,2014,36,Kings County,1260,1320,1560,2030,2390
115,28980,5046,3051,2566,1990,1604,1703,1221,1274,1269,1564,2084,2049,1408,853,865,433,11206,2014,36,Kings County,900,940,1110,1440,1700
116,31648,6189,2706,1804,2088,1830,1496,1696,1640,1104,2328,2609,2751,1814,710,613,270,11207,2014,36,Kings County,1010,1050,1250,1630,1920
117,29020,5979,1828,2228,1466,1536,1623,1498,1574,1180,1998,2489,2510,1320,887,540,364,11208,2014,36,Kings County,1090,1140,1350,1760,2070
118,30916,2373,1461,1763,1384,1351,1133,968,1313,1166,2561,2751,3738,2579,1746,2315,2314,11209,2014,36,Kings County,1140,1190,1410,1830,2160
119,21906,1596,936,906,933,973,1205,1014,1180,953,1916,2317,2880,1732,1112,1256,997,11210,2014,36,Kings County,990,1030,1220,1590,1870
120,36422,3756,3525,2298,1602,1709,1677,1148,1215,1054,2101,3089,3720,2788,1840,2248,2652,11211,2014,36,Kings County,1220,1270,1510,1960,2310
121,30685,6199,3387,2499,1853,2215,1722,1695,1368,1074,2038,2134,2317,1020,377,485,302,11212,2014,36,Kings County,960,1000,1190,1550,1820
122,23671,3785,2311,1619,1326,1412,1428,1317,1293,738,1999,1961,2169,791,683,592,247,11213,2014,36,Kings County,960,1000,1190,1550,1820
123,31315,2836,2325,1777,1783,1734,1642,1707,1688,1076,2480,3160,3298,2207,1496,1274,832,11214,2014,36,Kings County,990,1040,1230,1600,1890
124,28984,1168,842,451,548,547,703,684,929,704,1813,2417,3845,2915,2395,3558,5465,11215,2014,36,Kings County,1540,1610,1910,2480,2930
125,23210,2698,1773,1261,1202,961,1403,1088,1131,855,2041,2089,2462,1724,700,1082,740,11216,2014,36,Kings County,1010,1050,1250,1630,1920
126,16691,1143,673,579,523,596,464,519,491,344,809,1195,2021,1560,1350,1611,2813,11217,2014,36,Kings County,1550,1620,1920,2500,2940
127,24829,2022,1606,1497,1464,1030,1190,1047,954,914,1408,2327,3511,2156,1144,1361,1198,11218,2014,36,Kings County,1120,1170,1390,1810,2130
128,26611,2456,2703,2235,2254,1892,1743,1588,1401,915,1724,2421,2040,1221,783,701,534,11219,2014,36,Kings County,1060,1100,1310,1700,2010
129,29622,2932,2544,2300,2374,2245,1549,1439,1592,1313,2025,2443,2729,1743,892,880,622,11220,2014,36,Kings County,1070,1110,1320,1720,2020
130,28794,4635,1973,2031,1694,1809,1106,1197,1242,1359,2078,2682,2858,1793,967,813,557,11221,2014,36,Kings County,1030,1080,1280,1660,1960
131,16662,1263,724,740,607,594,751,497,576,538,1289,1517,2691,1785,1174,1042,874,11222,2014,36,Kings County,1200,1250,1480,1920,2270
132,27283,3140,2002,1977,1723,1534,1650,1375,1394,981,1947,2498,2563,1784,921,881,913,11223,2014,36,Kings County,990,1040,1230,1600,1890
