,bath,bed,furnished,price,size,street,where
179,1 bath,2 beds,0,"$2,400",,125 Park Avenue #4F,Fort Greene
180,2 baths,1 bed,0,"$2,400","1,120 ft²",1377 Saint Marks Avenue #1,
181,1 bath,1 bed,0,"$1,695",,640 Ditmas Avenue #27,
182,1 bath,2 beds,0,"$3,180",,22 Caton Place #7C,
183,2 baths,2 beds,0,"$5,050","1,052 ft²",429 Kent Avenue #505,Williamsburg
184,1.5 baths,3 beds,0,"$2,800","1,120 ft²",1377 Saint Marks Avenue #2,
185,1 bath,2 beds,0,"$2,200",,1576 President Street #2,
186,2 baths,3 beds,0,"$2,700",,2578 Bedford Avenue #2,
187,1 bath,2 beds,0,"$1,950",,2610 Ocean Parkway #2G,
188,1 bath,2 beds,0,"$2,400",,1368 82nd Street #2,
189,1 bath,,0,"$1,100",200 ft²,851 Park Place #1B,
190,1 bath,1 bed,0,"$1,650",,184 Clarkson Avenue #3K,
191,1 bath,2 beds,0,"$3,111",,68 Richardson Street #203,Williamsburg
192,2 baths,2 beds,0,"$4,900","1,200 ft²",207 North 6th #PHR,Williamsburg
193,1 bath,2 beds,0,"$2,300",,184 Clarkson Avenue #2A,
194,,1 bed,0,"$1,595",,415 Lefferts Avenue #F5,
195,1 bath,2 beds,0,"$2,130",,336 Lincoln Road #2F,
196,1.5 baths,2 beds,0,"$2,625",,55-27 Myrtle Avenue #305,Bushwick
197,2 baths,2 beds,0,"$4,450","1,040 ft²",189 Schermerhorn Street #21E,
198,1 bath,1 bed,0,"$2,500",800 ft²,321 8th Street #1G,Park Slope
199,2 baths,3 beds,0,"$3,200","1,200 ft²",103 16th Street #2B,
200,1 bath,2 beds,0,"$2,361",,298 Covert Street #1F,Bushwick
201,1 bath,3 beds,0,"$2,597",,298 Covert Street #2R,Bushwick
202,1 bath,3 beds,0,"$2,900",,372 Saint Johns Place #43,Prospect Heights
203,1 bath,2 beds,0,"$3,400",,111 Montague Street #8D,Brooklyn Heights
204,1 bath,,0,"$1,575",,188 Parkside Avenue #D5E,
205,1 bath,3 beds,0,"$3,500",,17 Aberdeen #3,Bushwick
206,1 bath,3 beds,0,"$2,485",,133 Lefferts Avenue #3L,
207,1 bath,1 bed,0,"$1,450",,2115 East 14th Street #3,
208,1 bath,1 bed,0,"$2,500",,210 14th Street #3,Park Slope
209,1 bath,1 bed,0,"$2,750",,202 South 2nd Street #15,Williamsburg
210,1 bath,,0,"$1,950",,548 Driggs Avenue #10,Williamsburg
211,1 bath,1 bed,0,"$3,000",,185 South 4th Street #4C,Williamsburg
212,1 bath,1 bed,0,"$2,495",691 ft²,204 Huntington Street #2I,Carroll Gardens
213,2 baths,3 beds,0,"$2,850",,468 Hart Street #2,
214,1 bath,1 bed,0,"$3,250",,395   Leonard Street #305,Williamsburg
215,1 bath,2 beds,0,"$2,044",,336 Lincoln Rd #2R,
216,1 bath,,0,"$2,500",,395 Leonard Street #329,Williamsburg
217,1 bath,,0,"$2,450",,205 N. 9th Street #3K,Williamsburg
218,1 bath,3 beds,0,"$2,600",,194 Hawthorne Street #4R,
219,1.5 baths,3 beds,0,"$2,950",,192 Hawthorne Street #1R,
220,1 bath,1 bed,0,"$1,999",800 ft²,410 Westminster Rd #2A,
221,1 bath,2 beds,0,"$2,250",780 ft²,442 14th Street #4P,Park Slope
222,1 bath,1 bed,0,"$1,800",650 ft²,157 Bay 23rd Street #3,
223,1 bath,1 bed,0,"$3,600",,50 Orange Street #4D,Brooklyn Heights
224,2 baths,2 beds,0,"$4,945",928 ft²,175 Kent Avenue #309,Williamsburg
225,1 bath,1 bed,0,"$3,350",,101 Bedford Avenue #A604,Williamsburg
226,1 bath,1 bed,0,"$2,300",,250 Pacific Street #5,
227,1 bath,3 beds,0,"$2,400",,364 85 #3,Bay Ridge
228,1 bath,1 bed,0,"$1,750",,333 Hancock Street #3F,Bedford-Stuyvesant
229,2 baths,3 beds,0,"$4,725",,540 Henry Street #3RD,Carroll Gardens
230,,3 beds,0,"$2,150","1,441 ft²",640 Crescent #2,
231,1 bath,3 beds,0,"$3,300",,164 Newton Street #2,Greenpoint
232,1 bath,,0,"$2,000",,892 Manhattan Avenue #4R,Greenpoint
