,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
118,18706,1413,881,1191,1040,1293,989,899,1028,600,1653,1905,1789,1565,829,861,770,11432,2012,36,Queens County,1070,1170,1340,1690,2050
119,9772,1407,690,642,650,330,443,394,514,472,706,805,821,823,414,469,192,11433,2012,36,Queens County,1130,1230,1410,1780,2150
120,19845,1284,739,816,845,969,982,946,1182,785,1787,2139,3020,1657,1073,1091,530,11434,2012,36,Queens County,880,960,1100,1390,1680
121,18023,1083,968,924,964,1094,837,1129,646,851,1686,1896,2191,1488,976,860,430,11435,2012,36,Queens County,1100,1200,1370,1730,2090
122,5206,192,213,252,212,223,222,242,192,297,516,702,681,590,289,220,163,11436,2012,36,Queens County,1270,1390,1590,2000,2430
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11451,2012,36,Queens County,1150,1260,1440,1820,2200
124,19221,3859,1537,1081,1021,683,907,759,841,438,1284,1753,1895,1160,529,733,741,11691,2012,36,Queens County,980,1070,1220,1540,1860
125,5728,784,370,291,234,364,560,270,272,150,271,682,608,341,229,162,140,11692,2012,36,Queens County,900,980,1120,1410,1710
126,4529,509,225,232,234,205,221,162,277,199,519,482,527,353,224,77,83,11693,2012,36,Queens County,780,860,980,1240,1500
127,8328,342,408,298,410,366,292,415,206,237,408,844,1142,882,653,725,700,11694,2012,36,Queens County,1030,1130,1290,1630,1970
128,1742,23,23,112,81,54,36,46,68,26,92,134,356,190,167,172,162,11697,2012,36,Queens County,680,740,850,1070,1300
