	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
35	40.711761474609375	-73.96764373779297	0012-01-06T20:53:58.000	0012-01-06T20:47:21.000	40.72069549560547	-73.95489501953125	0.0	1.08
37	40.69108963012695	-73.91344451904297	0018-01-07T23:33:41.000	0018-01-07T23:09:46.000	40.684818267822266	-73.99185943603516	0.0	4.56
38	40.71733474731445	-73.9582748413086	0024-01-12T12:13:57.000	0024-01-12T12:10:35.000	40.72431945800781	-73.9494400024414	0.0	0.81
39	40.72004699707031	-74.00863647460938	0013-01-10T17:52:24.000	0012-01-10T18:26:23.000	40.706787109375	-73.96723937988281	6.17	7.97
42	40.71296310424805	-73.96577453613281	0006-01-06T23:58:29.000	0006-01-06T23:38:46.000	40.71337127685547	-73.9625015258789	0.0	4.03
43	40.68355941772461	-73.9765853881836	0029-01-11T20:51:53.000	0029-01-11T20:47:08.000	40.67778778076172	-73.98389434814453	0.0	0.7
46	40.671165466308594	-73.98796844482422	0027-01-09T08:35:23.000	0027-01-09T08:31:50.000	40.67521667480469	-73.97494506835938	0.0	0.93
51	40.66688919067383	-73.97823333740234	0031-01-05T19:52:11.000	0031-01-05T19:29:30.000	40.723533630371094	-73.94078063964844	0.0	5.18
52	40.72086715698242	-74.00385284423828	0019-01-02T05:49:26.000	0019-01-02T05:37:11.000	40.70092010498047	-73.99312591552734	4.5	2.9
54	40.707603454589844	-74.00714111328125	0024-01-07T15:50:06.000	0024-01-07T15:06:20.000	40.650604248046875	-73.95635223388672	6.1	6.6
56	40.68230056762695	-73.9261474609375	0001-01-08T21:54:01.000	0001-01-08T21:39:19.000	40.69093322753906	-73.9918212890625	0.0	3.86
57	40.697269439697266	-73.9648666381836	0014-01-11T19:03:12.000	0014-01-11T18:56:11.000	40.70235061645508	-73.98687744140625	1.7	1.4
58	40.695838928222656	-73.99561309814453	0014-01-06T00:48:48.000	0014-01-06T00:38:05.000	40.67942428588867	-73.96421813964844	2.75	2.36
59	40.59614562988281	-73.94498443603516	0005-01-06T17:08:57.000	0005-01-06T16:42:34.000	40.67626190185547	-73.98059844970703	0.0	7.29
60	40.69215393066406	-73.95330810546875	0004-01-07T13:41:33.000	0004-01-07T13:36:58.000	40.69392013549805	-73.96186828613281	0.0	0.63
61	40.67439270019531	-73.98204040527344	0004-01-10T22:52:46.000	0004-01-10T22:44:13.000	40.672447204589844	-73.95762634277344	1.9	1.7
63	40.68696975708008	-73.97832489013672	0008-01-11T20:02:11.000	0008-01-11T19:53:27.000	40.688560485839844	-73.95649719238281	1.7	1.5
65	40.68163299560547	-73.99628448486328	0012-01-12T18:24:55.000	0012-01-12T18:15:26.000	40.6799201965332	-73.981201171875	0.0	1.48
66	40.712982177734375	-73.96419525146484	0027-01-04T22:00:37.000	0027-01-04T21:43:20.000	40.681983947753906	-73.97595977783203	2.5	3.6
69	40.724525451660156	-73.99824523925781	0022-01-12T18:02:39.000	0022-01-12T17:08:00.000	40.80811309814453	-73.96391296386719	0.0	7.52
73	40.5764045715332	-73.98155975341797	0021-01-07T02:27:38.000	0021-01-07T02:27:17.000	40.57639694213867	-73.9815673828125	21.5	0.0
77	40.66053771972656	-73.99458312988281	0010-01-07T00:28:32.000	0009-01-07T23:35:28.000	40.74442672729492	-73.88623046875	2.0	12.29
81	40.66379165649414	-73.98206329345703	0026-01-06T23:05:08.000	0026-01-06T23:00:32.000	40.6715087890625	-73.98443603515625	0.0	0.91
83	40.731754302978516	-73.98367309570312	0019-01-01T01:08:54.000	0019-01-01T00:44:18.000	40.715248107910156	-73.93595123291016	4.88	4.21
88	40.71799087524414	-73.96405029296875	0022-01-06T21:12:08.000	0022-01-06T20:56:07.000	40.75059509277344	-73.94583129882812	0.0	3.3
94	40.730506896972656	-73.95037078857422	0016-01-10T09:16:19.000	0016-01-10T08:59:32.000	40.70087814331055	-73.99210357666016	3.0	4.81
95	40.73027038574219	-73.9540786743164	0001-01-11T04:41:35.000	0001-01-11T04:29:51.000	40.7520637512207	-73.92464447021484	1.8	1.3
97	40.719730377197266	-73.99488067626953	0022-01-02T18:28:33.000	0022-01-02T18:10:03.000	40.71332550048828	-73.96195983886719	3.1	3.59
98	40.67227554321289	-73.96900939941406	0021-01-08T14:50:22.000	0021-01-08T14:34:05.000	40.699832916259766	-73.99114227294922	2.5	2.51
103	40.60405731201172	-73.99267578125	0002-01-07T22:15:25.000	0002-01-07T21:56:36.000	40.670265197753906	-73.98853302001953	5.5	9.07
106	40.68293380737305	-73.96265411376953	0003-01-10T14:15:00.000	0003-01-10T13:29:42.000	40.702423095703125	-73.98847961425781	8.4	4.37
107	40.72355651855469	-73.93952178955078	0024-01-02T18:00:05.000	0024-01-02T17:54:55.000	40.714576721191406	-73.94427490234375	0.0	0.79
109	40.66794204711914	-73.90648651123047	0027-01-04T03:21:44.000	0027-01-04T03:05:57.000	40.687950134277344	-73.96879577636719	0.0	4.07
110	40.66504669189453	-73.98983764648438	0022-01-10T20:31:18.000	0022-01-10T20:24:17.000	40.655540466308594	-74.00051879882812	0.0	1.1
113	40.69212341308594	-73.91950988769531	0019-01-10T02:48:56.000	0019-01-10T02:36:03.000	40.71418380737305	-73.94860076904297	2.4	2.6
114	40.7238883972168	-74.00434875488281	0016-01-05T02:49:02.000	0016-01-05T02:32:20.000	40.69715118408203	-73.93486785888672	0.0	4.47
115	40.711490631103516	-73.96177673339844	0024-01-08T20:40:25.000	0024-01-08T20:29:01.000	40.691829681396484	-73.98741912841797	2.8	3.84
124	40.678985595703125	-73.96240997314453	0026-01-03T22:22:25.000	0026-01-03T22:08:02.000	40.70245361328125	-73.98666381835938	2.9	3.34
129	40.67930221557617	-73.97408294677734	0005-01-07T19:10:21.000	0005-01-07T18:59:41.000	40.71416091918945	-73.95523834228516	0.0	3.72
130	40.725223541259766	-73.98905181884766	0016-01-10T20:26:04.000	0016-01-10T20:12:10.000	40.69324493408203	-73.97187805175781	1.0	3.19
133	40.65787887573242	-73.88737487792969	0002-01-09T18:47:18.000	0002-01-09T18:20:38.000	40.70005798339844	-73.9406509399414	0.0	4.59
135	40.71703338623047	-74.00917053222656	0030-01-05T13:20:47.000	0030-01-05T13:07:06.000	40.702415466308594	-73.9868392944336	2.5	3.05
138	40.68397521972656	-73.96307373046875	0004-01-12T23:12:30.000	0004-01-12T23:07:35.000	40.68372344970703	-73.97615051269531	0.0	0.93
141	40.59349060058594	-73.9444580078125	0013-01-01T10:35:11.000	0013-01-01T10:30:56.000	40.587730407714844	-73.9541015625	1.5	0.9
143	40.67767333984375	-73.97225952148438	0002-01-01T18:16:08.000	0002-01-01T17:58:35.000	40.70183181762695	-73.98954010009766	2.9	2.95
144	40.660789489746094	-73.99089813232422	0004-01-05T19:42:29.000	0004-01-05T19:33:14.000	40.68382263183594	-73.97882080078125	2.5	2.0
145	40.69085693359375	-73.99173736572266	0011-01-07T17:29:53.000	0011-01-07T17:21:28.000	40.6856575012207	-73.98151397705078	0.0	0.91
146	40.69398498535156	-73.98932647705078	0020-01-04T14:15:43.000	0020-01-04T14:11:38.000	40.69751739501953	-73.99298858642578	0.0	0.49
154	40.71390914916992	-73.94938659667969	0017-01-04T00:00:03.000	0016-01-04T23:51:58.000	40.70491027832031	-73.93362426757812	0.0	1.5
160	40.71390151977539	-73.94173431396484	0008-01-05T22:22:03.000	0008-01-05T22:16:00.000	40.71403121948242	-73.9556884765625	1.1	0.78
